# deck: Portuguese::Frequency Master
# notetype: Portuguese (EP) – Frequency
# separator: Tab
Rank	Lemma_PT	POS	Gloss_EN	Variety	Register_Flags	Range_Blocks	Raw_Freq	Example_PT	Example_EN	Freq_Band	Thematic_Source	Tags
14	se	pn	reflexive pronoun	EP				esse povo quase desapareceu	That group • omulato não se vê como negro, no entanto of people almost disappeared. éidentificado como negro – Mulatos don’t 100 | 55586 +s see themselves as black; however, they are identified as black.	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::pn
16	seu	aj	his, her(s), their(s), your(s)	EP				asua cara era pálida e os seus vestidos		0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::aj
18	estar	v	to be (change from norm) 100 | 59042 +s	EP				Hoje estou muito feliz com minha		0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::verb
20	anos	na	cadeia – He spent de seus vizinhos – He didn’t dare make a twenty years in jail. formal visit to his neighbors’ house. 84 | 1528 81 |	EP		2340.0	62.0			0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::na
20	mas	cj	but personally against abortion.	EP				Estas aves são más voadoras mas excelentes 100 | 79743 +s corredoras	These birds don’t fly well but	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::cj
21	fazer	v	to do, make	EP						0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::verb
22	poder	v	can, be able to rebelou contra Roma – Around the year 174	EP				Os eclipses lunares podem ser totais ou AD, his people revolted against Rome. parciais	Lunar eclipses can be total or 100 | 42256 partial. 100 | 66018	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::verb
23	este	aj	this presente para o amigo – When he returned,	EP				este meu relógio é incansável	This watch he brought a baseball cap and gave it as a of mine never stops. present to his friend. 100 | 72030 100 | 38867 +s 12	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::aj
25	ele	pn	he, it (him in BP) 100 | 183047	EP				todos olharam para o rapaz espantados. Ele, porém, continuou	Everyone looked at the	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::pn
26	esse	aj	that	EP						0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::aj
27	outro	aj	other, another 100 | 143317 +s	EP				você deveria entregar essa tarefa a outra pessoa	You should give this task to some 15 opn it, him, her, them, you (F a) other person. • apesar da protecção do governo, ele 100 | 55722 +s sofreu um atentado que o matou – Despite the government’s protection, he was the 28 muito aj/av very, much, many victim of an assassination attempt which • adominação alemã não se prolongou por killed him. muito tempo – The German domination didn’t last very long. 100 | 128846 100 | 53065 +s [AV]	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::aj
29	haver	v	“there is”, to have humildes – His face was pale and his	EP				em cada colmeia só pode haver uma única clothing humble. rainha	In each beehive there can only be one queen. 100 | 139813 100 | 53477 +s 17 como cj/av how, like, as • amãe ainda se lembra como se faz? –	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::verb
30	ir	v	to go Mom, do you still remember how to do it?	EP				milhares de pessoas foram à praia para ver o golfinho	Thousands of people went to the 100 | 103423 [AV] beach to see the dolphin.	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::verb
31	todo	aj	all, every gravidez – Today I am very happy with my	EP				esse tipo de templo influenciou todo o pregnancy. Oriente Médio, principalmente o Egipto	100 | 96859 +s That type of temple influenced all of the 19 mais aj/av more, most Middle East, mainly Egypt. • ele precisava de mais tempo para concluir a 100 | 51262 +s tarefa – He needed more time to complete the task.	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::aj
32	eu	pn	I (OBJ = me)	EP				digo-lhes que eu, pessoalmente, sou contra a 100 | 92192 [AV] interrupção da gravidez	Itell you that I am	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::pn
33	já	av	already, now they are excellent runners.	EP				opior já passou	The worst is already over. 100 | 72692 +s 100 | 42131	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::av
34	dizer	v	to tell, say	EP				Os Aliados fizeram uma tentativa pouco • Queres que te diga verdade?	Would you convincente de ajudar os russos – The Allies like me to tell the truth? made a very unconvincing attempt to help 100 | 52305 +s the Russians. 100 | 66053 +s	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::verb
35	ano	nm	year	EP				por volta do ano 174 d.C., o povo dele se		0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::noun.masc
36	dar	v	to give	EP				quando voltou, ele trouxe um boné e deu de		0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::verb
37	também	av	also, too, as well	EP						0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::av
39	mesmo	aj	same	EP						0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::aj
40	ver	v	tosee	EP				Afalar a verdade, só atravessei uma vez a • não vejo graça em nada	Idon’t see the fronteira – To tell the truth, I’ve only crossed humor in anything. the border once. 100 | 35168 +s 100 | 28034	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::verb
41	até	prp	until, even, up to	EP						0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::prp
42	dois	num	two morte do marido – She didn’t have the	EP				as células possuem dois meios de repro- courage to talk about her husband’s death. dução: a mitose e a meiose	Cells have two 100 | 27453 methods of reproduction: mitosis and 55 primeiro aj/av first meiosis. • aprimeira coisa que tens a fazer é tomar um 100 | 32397 banho – The first thing you have to do is	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::numeral
43	ainda	av	still, yet take a bath.	EP				eles estavam ali por outro motivo que ela 100 | 27202 [AV] ainda não sabia	They were there with some	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::av
44	isso	pn	that (NEUT) 100 | 26424 +s	EP				em muitos casos fazer isso é impossível	In	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::pn
45	grande	aj	big, grand, great tion workers.	EP				outros documentos de grande importância são os escritos dos jesuítas	Other 100 | 25856 documents of great importance include the	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::aj
46	vez	nf	(a) time, turn	EP				ele pediu-lhe sete vezes que ela casasse 100 | 25499 com ele	He asked her seven times to marry	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::noun.fem
47	algum	aj	some	EP				era-lhe preciso dizer alguma coisa, mas 100 | 30258 +s nenhuma palavra lhe aflorava aos lábios	It	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::aj
48	ela	pn	she, it (her in BP)	EP				nem tudo pode ser como a gente quer, • ela é uma santa mulher	She is a kind and Teresa – Not everything can be the way we holy woman. want, Teresa. 100 | 34994 100 | 28241 +s	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::pn
49	depois	av	after	EP				ele cobria o rosto com o lenço e também • eles faziam esta visita geralmente aos chorava!	Hecovered his face with the domingos, depois do jantar – They generally handkerchief and cried as well! paid a visit on Sundays, after dinner. 100 | 35547 100 | 27227 38 quando cj/av when	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::av
50	entre	prp	between, among	EP				ele ficava levemente irritado quando era • esta relação entre Portugal e os EUA procurado por mendigos	Hegot a little mantém-se até hoje – This relationship irritated when he was approached by between Portugal and the United States is beggars. still maintained today. 100 | 36149 [AV] 100 | 35421	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::prp
51	dia	nm	day	EP				anova lei garante os mesmos direitos • no estabelecimento do velho trabalhavam jurídicos e sociais aos casais homossexuais noite e dia	In the old man’s store, they –The new law guarantees the same judicial worked day and night. and social rights to homosexual couples. 100 | 30068 100 | 35492 +s	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::noun.masc
52	só	av	only, just	EP						0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::av
53	aquele	aj	that (more remote)	EP				esta língua tem estado em declínio há vários • eu escrevi aquele livro	Iwrote that séculos até recentemente – This language book. has been in decline for several centuries until 100 | 31094 +s recently.	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::aj
54	sobre	prp	about, over, above, upon 100 | 31807	EP				ela não tivera coragem de falar sobre a		0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::prp
56	ficar	v	to stay, be located, get ADJ other motive in mind which she still didn’t	EP				por uns tempos você vai ficar aqui com know about. agente	For a while you will stay here 100 | 31388 with us.	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::verb
57	dever	v	must, should, to owe many cases, doing that is impossible.	EP				opatrão deve vários meses de salário aos 100 | 29550 +s trabalhadores da construção civil	The boss owes several months’ salary to the construc-	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::verb
58	passar	v	to go through, spend (time) writings of the Jesuits.	EP				os presos teriam que passar ainda por outra 100 | 28868 +s provação	The prisoners would have to go through yet one more hardship.	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::verb
59	saber	v	to know (something) him.	EP				ela queria saber se é verdade o que descobri! 100 | 29251 +s	She wanted to know if what I discovered was true!	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::verb
60	assim	av	thus, so, like this was necessary that he say something, but no	EP				assim fica difícil	This way, it’s hard. word came from his lips. 100 | 22674 +s 100 | 28031 +s	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::av
61	querer	v	to want	EP						0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::verb
62	onde	av	where	EP						0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::av
63	novo	aj	new killed an American.	EP				em dezembro desse ano, foi adoptada uma 100 | 16783 nova Constituição	In December of that year, a new Constitution was adopted.	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::aj
64	sem	prp	without arrive at its destination.	EP				amaioria deles é invisível sem a ajuda do 100 | 17446 microscópio	Most of them are invisible without the help of a microscope.	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::prp
65	vir	v	tocome in my life, I understood her.	EP				logo atrás vinha outro riquexó a toda a velocidade, decidido a ultrapassar	Right 100 | 17642 behind another rickshaw came at full speed, 78 pouco aj/av alittle ready to pass. • quero fazer um pouco de exercício – Iwant 100 | 24525 +s to do a little physical exercise.	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::verb
66	tempo	nm	time, weather 100 | 16797 [AV]	EP				aobra levou um período de tempo enorme		0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::noun.masc
67	bem	av	well, very women have complementary roles.	EP				Simone perguntou:	Como está? Bem? – 100 | 19242 Simone asked, “How are you? Well?”	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::av
68	porque	cj	because This analysis is divided in two parts.	EP				aregião não se desenvolve, porque o 100 | 16153 +s domínio chinês é mal recebido	The region	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::cj
69	meu	aj	my, mine everything to her husband.	EP				tenho saudades da minha família e do meu 100 | 20120 +s país	Imiss my family and my country.	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::aj
70	pessoa	nf	person casa, curtindo minha solidão – Ididn’t want	EP				ele era o tipo de pessoa em quem se pode to go; I preferred to stay home, enjoying my confiar	He was the kind of person in whom solitude. you can trust. 100 | 18574 100 | 17304 +s	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::noun.fem
71	coisa	nf	thing	EP				então fale agora ou cale-se para sempre	• hoje as coisas estão melhores para a comu- Then speak now or forever hold your peace. nidade latina nos EUA – Today, things are 100 | 17948 better for the Latino community in the USA. 100 | 22247 +s	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::noun.fem
72	então	av	then, so Ican’t remember what question I asked him.	EP				amãe dele, até então quieta, disse a 100 | 24131 primeira palavra desde que chegara	His mother, who had been quiet until then,	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::av
73	quem	pn	whom, who 100 | 14649 +s	EP				oamigo a quem convidei nunca chegou a aparecer	The friend whom I invited never	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::pn
74	sempre	av	always 100 | 14467 +s	EP				arelação entre o pai e a mãe da criança sempre fora turbulenta	The relationship	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::av
75	qual	aj	which	EP				fica onde estás	Stay where you are. • ele assinou uma confissão na qual admitia 100 | 24253 ter matado um americano – He signed a confession in which he admitted to having	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::aj
76	chegar	v	toarrive 100 | 25216	EP				odinheiro pode demorar dias a chegar ao seu destino	The money could take days to	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::verb
77	vida	nf	life 100 | 27913	EP				acho que, pela primeira vez na minha vida, compreendi-a	Ithink that, for the first time	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::noun.fem
79	homem	nm	man para ser concluída – The work took an	EP				no caso das famílias tradicionais, homens enormous amount of time to finish. emulheres têm papéis complementares	100 | 21986 +s In the case of traditional families, men and	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::noun.masc
80	parte	nf	part 100 | 21475	EP				esta análise divide-se em duas partes		0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::noun.fem
81	tudo	pn	everything, all has not developed because Chinese rule is	EP				um dia fui vê-la e disse-lhe que ela devia not welcomed. contar tudo ao marido	One day I went to 100 | 22624 +s see her and told her that she should tell	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::pn
82	casa	nf	house, home 99 | 32800 +s	EP				eu não tinha vontade de ir; preferia ficar em		0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::noun.fem
83	agora	av	now	EP						0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::av
84	lhe	pn	to you, him, her	EP				já não lembro que pergunta lhe fiz		0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::pn
85	trabalho	nm	work uttered her first word since she had arrived.	EP				oseu trabalho conduziu ao desenvolvimento 100 | 18448 +s -n das técnicas de raios X	His work led to the development of X-Ray techniques.	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::noun.masc
86	nosso	aj	our showed up.	EP				defendemos nossa família e as almas a nós 100 | 20678 +s confiadas	We defend our family and the souls entrusted to us.	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::aj
87	levar	v	to carry (away), take (with oneself) between the child’s father and mother had	EP				oavião ia levá-los a Bauru	The airplane always been problematic. was going to carry them to Bauru. 100 | 17859 100 | 14200 14	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::verb
88	pois	cj	for, because, whereas	EP						0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::cj
89	deixar	v	to leave, allow	EP						0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::verb
90	bom	aj	good 100 | 12166 +s	EP				em todos os lugares há árbitros bons e		0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::aj
91	começar	v	tobegin, start 100 | 14644	EP				tudo ia acabar e começar de novo	104 meio n/aj/av means, way, half-, middle Everything was going to end and begin again. • osacrifício era visto como um meio de 100 | 13480 +s santificar o acto – The sacrifice was seen as	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::verb
92	próprio	aj	own, very own away of sanctifying the act.	EP				em 1899, ele fundou a sua própria empresa 100 | 12906 [AV] de produção de motores	In 1899, he founded his own motor production company.	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::aj
93	maior	aj	greater, larger us.	EP				oCairo é a maior cidade de África	Cairo is 100 | 14613 +s the biggest city in Africa.	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::aj
94	caso	nm	case sempre à Islândia – He traveled throughout	EP				opaciente, neste caso, deverá ser the whole world but always came back to ligeiramente reclinado	The patient, in this Iceland. case, ought to be slightly reclined. 100 | 12362 +s 100 | 14827	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::noun.masc
95	falar	v	to speak, talk	EP				oPartido Socialista conseguiu apenas 18% • ela fala português	She speaks Portuguese. dos votos – The Socialist Party only got 18% 100 | 15993 +s of the votes.	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::verb
96	país	nm	country 100 | 14052	EP				oBrasil é um país jovem e sem compro-		0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::noun.masc
97	forma	nf	form, way 100 | 16060	EP				outra forma de arte bastante desenvolvida 109 segundo n/aj/prp second, according to por eles era a escultura	Another form of • ele chegou em segundo lugar – He took art which was highly developed by them was second place. sculpture. 99 | 18196 [PRP] 100 | 16281	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::noun.fem
98	cada	aj	each, every	EP						0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::aj
100	nem	cj	neither, not, nor dentro da classe governante, conseguiu	EP				nem venderam os legumes nem compraram ganhar o voto do povo	Although he opão de que precisavam – They neither sold had fewer supporters among the governing the vegetables nor bought the bread they class, he was able to get the popular needed. vote. 100 | 17142 100 | 11338 [AV]	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::cj
101	três	num	three	EP				esta decisão mudou a história do Nepal pois • como Pedro que três vezes negou Cristo e introduziu a democracia	This decision foi perdoado, eu estou arrependido – Like changed Nepal’s history for it introduced Peter who denied Christ three times and was democracy. forgiven, I am repentant. 100 | 13652 +s 100 | 13512	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::numeral
102	se	cj	if	EP				ele foi obrigado a deixar a cidade, mudando- • Senão fosse por causa do problema do se para Berlim	He had to leave the city, so esgoto, já teríamos construído a casa – If it he moved to Berlin. weren’t for the problem with the sewers, we 100 | 16325 would already have built the house.	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::cj
103	encontrar	v	to find, meet árbitros maus – In every place there are	EP				Na Europa é difícil, mas é possível encontrar good and bad referees. umemprego	InEurope it is difficult, yet 100 | 15028 +s possible, to find a job.	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::verb
105	aqui	av	here	EP				por uns tempos você vai ficar aqui com a 100 | 13580 gente	For a while you will stay here with	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::av
106	mundo	nm	world 100 | 15150	EP				ele viajou pelo mundo inteiro mas voltava		0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::noun.masc
107	apenas	av	only, just	EP						0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::av
108	estado	nm	state, condition misso com o passado – Brazil is a young	EP				disseram-me que o cemitério está num country without a commitment to the past. estado lastimável	They told me that the 100 | 16979 cemetery is in terrible condition.	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::noun.masc
110	qualquer	pn	any	EP				opaís encontra-se dividido em nove • farei qualquer coisa por você	Iwill do anything for you. províncias, cada uma com um governador – The country is divided in nine provinces, each 100 | 11983 one with a governor.	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::pn
111	cidade	nf	city 100 | 13693	EP				acidade de Londrina foi fundada em 1930	99 hoje n/av today The city of Londrina was founded in • sua teoria até hoje permanece praticamente 1930. intocável – Even today, his theory remains 100 | 12737 practically irrefutable. 112 menos aj/av less, fewer 100 | 14033 +n [AV] • embora ele tivesse menos apoio	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::noun.fem
113	governo	nm	government	EP						0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::noun.masc
114	partir	v	(a p. de) starting at N	EP				com este despacho ele logo partiu para a		0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::verb
115	conseguir	v	to succeed in, be able to	EP						0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::verb
117	lado	nm	side	EP				osalemães atacaram então a força inglesa		0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::noun.masc
118	chamar	v	to call casa domingo – If you like to be visited, I’ll	EP				ela achou por bem chamar a polícia	come to your house over there on Sunday. She thought it wise to call the police. 99 | 16238 +s -n 100 | 10693 +s	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::verb
120	pensar	v	to think	EP						0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::verb
121	nome	nm	name	EP						0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::noun.masc
122	isto	pn	this (NEUT)	EP				porque é que isto aconteceu?	Why has this	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::pn
124	mulher	nf	woman, wife 100 | 11244	EP				onúmero médio de gravidezes é duas por cada mulher, nos países industrializados		0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::noun.fem
125	conhecer	v	to know (person, place, etc.)	EP						0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::verb
126	exemplo	nm	example	EP				em 1890 a colónia adquiriu o estatuto de • actualmente, a indústria é um bom exemplo governo	In 1890, the colony acquired its de uma área de depressão – Currently, the own government. industry is a good example of an area of 99 | 15906 depression. 100 | 12447 +s	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::noun.masc
127	existir	v	to exist Índia – With these orders, he left for India	EP				ooxigénio existe em duas formas gasosas	right away. Oxygen exists in two gaseous forms. 100 | 13383 100 | 10202 +s	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::verb
128	antes	av	before	EP				foi penoso, mas conseguimos pagar • antes da chegada dos europeus, a febre- dois terços da dívida	It was hard, but amarela não constituía um problema – we succeeded in paying two-thirds of the Before the arrival of the Europeans, yellow debt. fever hadn’t been a problem. 100 | 10864 100 | 10682 116 tanto aj/av somuch, enough 129 tal aj/av such • eu fiz tanta coisa que me senti cansado – • nunca me passou tal coisa pela cabeça! – Idid so much that I felt tired. Such a thing never passed through my 100 | 11524 [AV] head! 100 | 10265 [AV]	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::av
130	você	pn	you (EP formal, BP informal) pelo lado dipeito – The Germans then	EP				de onde você é?	Where are you from? attacked the English forces on the right 99 | 16285 +s side. 100 | 11225 +s	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::pn
131	lá	av	there, over there	EP				se você gosta de visitas, eu vou lá na sua		0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::av
132	durante	prp	during, for (time) 119 melhor aj/av better, best	EP				oreligioso permaneceu ajoelhado durante • sei isso melhor do que ninguém	Iknow horas – The religious man remained that better that anyone. kneeling for hours. 100 | 10869 [AV] 100 | 12692	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::prp
133	terra	nf	land, earth	EP				eofeminismo, que pensa do feminismo?	• Aagricultura é desenvolvida nas terras mais And feminism, what do you think about férteis da região – Agriculture is developed in feminism? the most fertile lands of the region. 100 | 12566 +s 100 | 10575	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::noun.fem
134	último	aj	last	EP				omeu nome é Maria Sara	My name is • quando o vi pela última vez, ele era ainda Maria Sara. uma criança – When I saw him last, he was 100 | 10642 still a child. 100 | 11703	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::aj
135	desde	prp	since happened?	EP				os meus pais estão casados desde antes de 100 | 10451 +s eu nascer	My parents have been married since before I was born. 123 certo aj/av certain, right, sure 100 | 10842 • em certos casos, o desflorestamento pode revelar-se benéfico – In certain cases,	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::prp
136	contra	prp	against deforestation can prove to be beneficial.	EP				aescravidão é um crime contra a 100 | 10358 +s [AV] humanidade	Slavery is a crime against humanity.	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::prp
137	aí	av	there The average number of pregnancies per	EP				ele foi para o Brasil e ali permaneceu	He woman is two in industrialized countries. went to Brazil and stayed there. 100 | 13572 100 | 10123 +s	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::av
